modelo,combustivel,ano,quilometragem,final de placa,carroceria,cor,ar condicionado,direcao,vidro eletrico,teto solar,alarme,rodas,retrovisores,computador de bordo
['CRETA'],['Gasolina e álcool'],['2017/2018'],['46.000'],['9'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['FRONTIER'],['Diesel'],['2012/2013'],['91.000'],['8'],['Picape'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['IX35'],['Gasolina e álcool'],['2014/2015'],['171.000'],['2'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['GOL'],['Gasolina e álcool'],['2019/2020'],['54.354'],['2'],['Hatchback'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['KICKS'],['Gasolina e álcool'],['2019/2020'],['43.130'],['4'],['Utilitário esportivo'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['AMAROK'],['Diesel'],['2013/2014'],['148.800'],['7'],['Picape'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['JOY'],['Gasolina e álcool'],['2020/2020'],['55.272'],['3'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['KA'],['Gasolina e álcool'],['2019/2020'],['40.456'],['1'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['nao'],[''],[''],['nao']
['LANCER'],['Gasolina'],['2013/2014'],['96.000'],['5'],['Sedã'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['POLO'],['Gasolina e álcool'],['2019/2020'],['40.598'],['1'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['CITY'],['Gasolina e álcool'],['2019/2020'],['10.700'],['6'],['Sedã'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['SAVEIRO'],"['Gasolina, álcool e gás natural']",['2015/2016'],['101.116'],['5'],['Picape'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],['Retrovisores elétricos'],['nao']
['ONIX'],['Gasolina e álcool'],['2019/2019'],['44.420'],['8'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['ONIX'],['Gasolina e álcool'],['2019/2019'],['69.349'],['8'],['Hatchback'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['POLO'],['Gasolina e álcool'],['2019/2019'],['34.000'],['9'],['Hatchback'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['COROLLA'],['Gasolina e álcool'],['2016/2017'],['44.000'],['0'],['Sedã'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KICKS'],['Gasolina e álcool'],['2019/2020'],['48.711'],['1'],['Utilitário esportivo'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['JOY'],['Gasolina e álcool'],['2019/2020'],['51.433'],['8'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['CIVIC'],['Gasolina e álcool'],['2013/2014'],['98.900'],['4'],['Sedã'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['CIVIC'],['Gasolina e álcool'],['2012/2012'],['129.500'],['8'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['ARGO'],['Gasolina e álcool'],['2019/2020'],['45.612'],['2'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['ARGO'],['Gasolina e álcool'],['2020/2021'],['4.800'],['8'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],['Retrovisores elétricos'],['Computador de bordo']
['DISCOVERY SPORT'],['Diesel'],['2016/2016'],['50.000'],['0'],['Utilitário esportivo'],['Preto'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['CIVIC'],['Gasolina e álcool'],['2020/2021'],['5.150'],['6'],['Sedã'],['Azul'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['AGILE'],['Gasolina e álcool'],['2012/2013'],['80.000'],['6'],['Hatchback'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['ARGO'],['Gasolina e álcool'],['2019/2020'],['54.079'],['0'],['Hatchback'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['JETTA'],['Gasolina'],['2017/2017'],['34.500'],['1'],['Sedã'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],[''],[''],['Computador de bordo']
['911'],['Gasolina'],['2018/2018'],['23.798'],['7'],['Conversível'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['LOGAN'],['Gasolina e álcool'],['2019/2020'],['27.005'],['9'],['Sedã'],['Prata'],['sim'],[''],['sim'],['nao'],['nao'],[''],[''],['nao']
['HILUX SW4'],['Diesel'],['2009/2009'],['210.000'],['0'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['AZERA'],['Gasolina'],['2010/2010'],['109.300'],['9'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['nao']
['A6'],['Gasolina'],['2018/2018'],['20.924'],['3'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['nao'],[''],[''],['Computador de bordo']
['COROLLA'],['Gasolina e álcool'],['2018/2019'],['14.300'],['0'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['HILUX SW4'],['Gasolina e álcool'],['2018/2019'],['49.000'],['0'],['Utilitário esportivo'],['Preto'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['DISCOVERY 4'],['Diesel'],['2011/2012'],['30.000'],['3'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['CAPTUR'],['Gasolina e álcool'],['2017/2018'],['40.000'],['1'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['RANGE ROVER SPORT'],['Gasolina'],['2017/2017'],['58.000'],['7'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['118i'],['Gasolina'],['2011/2012'],['137.837'],['3'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['CRUZE'],['Gasolina e álcool'],['2018/2019'],['25.000'],['1'],['Sedã'],['Preto'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['ONIX'],['Gasolina e álcool'],['2019/2019'],['39.000'],['0'],['Hatchback'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['COMPASS'],['Gasolina e álcool'],['2017/2018'],['20.000'],['7'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['AMAROK'],['Diesel'],['2012/2013'],['99.000'],['2'],['Picape'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['TUCSON'],['Gasolina'],['2018/2019'],['9.931'],['9'],['Utilitário esportivo'],['Preto'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['RANGE ROVER EVOQUE'],['Gasolina'],['2011/2012'],['71.879'],['5'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['JOURNEY'],['Gasolina'],['2012/2012'],['101.000'],['3'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['nao']
['ONIX'],['Gasolina e álcool'],['2017/2018'],['44.000'],['5'],['Hatchback'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['JOY'],['Gasolina e álcool'],['2019/2020'],['45.969'],['8'],['Hatchback'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['CIVIC'],['Gasolina e álcool'],['2012/2012'],['105.000'],['1'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['PRISMA'],['Gasolina e álcool'],['2019/2019'],['38.077'],['4'],['Sedã'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['KA'],['Gasolina e álcool'],['2019/2020'],['41.500'],['3'],['Hatchback'],['Vermelho'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['KICKS'],['Gasolina e álcool'],['2017/2018'],['31.300'],['8'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['HB20X'],['Gasolina e álcool'],['2018/2019'],['39.980'],['5'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['KA'],['Gasolina e álcool'],['2018/2019'],['57.793'],['7'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['DOBLÒ'],['Gasolina e álcool'],['2010/2011'],['153.000'],['3'],['Minivan'],['Branco'],['nao'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['ARGO'],['Gasolina e álcool'],['2017/2018'],['47.971'],['4'],['Hatchback'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],['Rodas de liga leve'],[''],['Computador de bordo']
['2500'],['Diesel'],['2018/2019'],['25.000'],['6'],['Picape'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['X5'],['Gasolina'],['2008/2008'],['160.000'],['0'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['X4'],['Gasolina'],['2016/2016'],['69.000'],['0'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['HR-V'],['Gasolina e álcool'],['2015/2016'],['70.556'],['7'],['Utilitário esportivo'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['UNO'],['Gasolina e álcool'],['2014/2014'],['39.200'],['8'],['Hatchback'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['RENEGADE'],['Gasolina e álcool'],['2015/2016'],['90.700'],['1'],['Utilitário esportivo'],['Vermelho'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['FIORINO'],['Gasolina e álcool'],['2009/2010'],['197.000'],['0'],['Van/Utilitário'],['Branco'],['sim'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['VIRTUS'],['Gasolina e álcool'],['2019/2019'],['31.000'],['0'],['Sedã'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['T-CROSS'],['Gasolina e álcool'],['2019/2020'],['53.606'],['7'],['Utilitário esportivo'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['C 180'],['Gasolina e álcool'],['2020/2020'],['3.000'],['6'],['Sedã'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['SAVEIRO'],['Gasolina e álcool'],['2019/2020'],['39.774'],['4'],['Picape'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['SILVER SHADOW II'],['Gasolina'],['1979/1979'],['70.000'],['7'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['COMPASS'],['Gasolina e álcool'],['2018/2019'],['29.024'],['2'],['Utilitário esportivo'],['Preto'],['sim'],[''],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['S10'],['Diesel'],['2019/2019'],['61.000'],['1'],['Picape'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['320i'],['Gasolina'],['2012/2013'],['102.000'],['5'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['HB20S'],['Gasolina e álcool'],['2019/2019'],['41.391'],['0'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['FOX'],['Gasolina e álcool'],['2019/2019'],['39.279'],['1'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['nao'],[''],[''],['nao']
['DISCOVERY SPORT'],['Gasolina'],['2015/2016'],['57.668'],['4'],['Utilitário esportivo'],['Cinza'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['FUSCA'],['Gasolina'],['1978/1978'],['11.111'],['3'],['Sedã'],['Bege'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['HB20'],['Gasolina e álcool'],['2015/2015'],['86.000'],['0'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['COROLLA'],['Gasolina e álcool'],['2017/2018'],['61.500'],['0'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['IMPREZA'],['Gasolina'],['2015/2016'],['63.000'],['0'],['Sedã'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['TORO'],['Diesel'],['2019/2020'],['15.937'],['4'],['Picape'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['HILUX SW4'],['Diesel'],['2016/2017'],['59.000'],['0'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['FUSION'],['Gasolina e álcool'],['2014/2015'],['70.000'],['2'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KOMBI'],['Gasolina e álcool'],['2006/2006'],['150.000'],['3'],['Van/Utilitário'],['Laranja'],['sim'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['TORO'],['Gasolina e álcool'],['2020/2020'],['57.830'],['5'],['Picape'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['KICKS'],['Gasolina e álcool'],['2019/2020'],['41.900'],['7'],['Utilitário esportivo'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KA'],['Gasolina e álcool'],['2019/2020'],['47.367'],['0'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['HB20'],['Gasolina e álcool'],['2019/2020'],['46.514'],['5'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['HR-V'],['Gasolina e álcool'],['2019/2020'],['30.000'],['6'],['Utilitário esportivo'],['Vinho'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['ECOSPORT'],['Gasolina e álcool'],['2013/2014'],['104.000'],['8'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['A 200'],['Gasolina e álcool'],['2015/2015'],['38.900'],['1'],['Hatchback'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FIT'],['Gasolina e álcool'],['2014/2015'],['62.849'],['8'],['Hatchback'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['COMPASS'],['Gasolina e álcool'],['2019/2020'],['39.000'],['2'],['Utilitário esportivo'],['Azul'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['FUSCA'],['Gasolina'],['1972/1973'],['123.000'],['9'],['Sedã'],['Marrom'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['TRAILBLAZER'],['Diesel'],['2016/2017'],['63.000'],['6'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['M4'],['Gasolina'],['2014/2015'],['47.000'],['1'],['Cupê'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['GOLF'],['Gasolina'],['2014/2015'],['52.000'],['4'],['Hatchback'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['ONIX'],['Gasolina e álcool'],['2019/2020'],['40.030'],['2'],['Hatchback'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['FOCUS'],['Gasolina e álcool'],['2014/2015'],['86.601'],['6'],['Sedã'],['Preto'],['sim'],[''],['sim'],['sim'],['nao'],['Rodas de liga leve'],[''],['nao']
['S60'],['Gasolina'],['2020/2020'],['5.300'],['9'],['Sedã'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KA'],['Gasolina e álcool'],['2019/2020'],['48.779'],['6'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['FUSION'],['Gasolina'],['2010/2011'],['183.000'],['0'],['Sedã'],['Preto'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['RENEGADE'],['Gasolina e álcool'],['2016/2016'],['43.000'],['2'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['CRETA'],['Gasolina e álcool'],['2017/2017'],['47.800'],['5'],['Utilitário esportivo'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['STRADA'],['Gasolina e álcool'],['2019/2020'],['45.325'],['8'],['Picape'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['NX 300h'],['Gasolina e elétrico'],['2018/2019'],['59.000'],['5'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['MUSTANG'],['Gasolina'],['2018/2018'],['8.000'],['1'],['Cupê'],['Preto'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['UNO'],['Gasolina e álcool'],['2018/2019'],['55.000'],['3'],['Hatchback'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['Computador de bordo']
['GLK 300'],['Gasolina'],['2012/2012'],['160.000'],['8'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['HILUX'],['Gasolina e álcool'],['2018/2019'],['33.000'],['9'],['Picape'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['JEEP'],['Gasolina'],['1976/1976'],['52.000'],['1'],['Utilitário esportivo'],['Amarelo'],['nao'],['Direção hidráulica'],['nao'],['nao'],['nao'],[''],[''],['nao']
['SENTRA'],['Gasolina e álcool'],['2019/2019'],['70.000'],['7'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['208'],['Gasolina e álcool'],['2019/2020'],['50.499'],['0'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['SANDERO'],['Gasolina e álcool'],['2019/2020'],['35.509'],['4'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['GLA 200'],['Gasolina e álcool'],['2015/2016'],['52.000'],['1'],['Utilitário esportivo'],['Prata'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['PRISMA'],['Gasolina e álcool'],['2016/2016'],['54.985'],['0'],['Sedã'],['Branco'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
['DISCOVERY SPORT'],['Diesel'],['2018/2018'],['60.000'],['4'],['Utilitário esportivo'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['CRONOS'],['Gasolina e álcool'],['2018/2019'],['19.547'],['6'],['Sedã'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['320i'],['Gasolina e álcool'],['2017/2017'],['11.453'],['8'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['HILUX SW4'],['Diesel'],['2015/2015'],['67.000'],['8'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['RANGE ROVER EVOQUE'],['Gasolina'],['2013/2013'],['40.000'],['3'],['Utilitário esportivo'],['Verde'],['sim'],[''],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['CLASSICO'],['Gasolina'],['1980/1980'],['80.000'],['9'],['Conversível'],['Azul'],['nao'],[''],['nao'],['nao'],['nao'],['Rodas de liga leve'],[''],['nao']
['GOLF'],['Gasolina e álcool'],['2012/2012'],['111.000'],['2'],['Hatchback'],['Vermelho'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['ASX'],['Gasolina'],['2015/2016'],['82.256'],['3'],['Utilitário esportivo'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['COROLLA'],['Gasolina e álcool'],['2015/2016'],['91.000'],['1'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['Computador de bordo']
['CIVIC'],['Gasolina e álcool'],['2008/2008'],['195.000'],['5'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['nao']
['CITY'],['Gasolina e álcool'],['2013/2013'],['160.000'],['5'],['Sedã'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['C 180'],['Gasolina e álcool'],['2019/2019'],['14.000'],['7'],['Sedã'],['Branco'],['sim'],[''],['nao'],['nao'],['sim'],[''],[''],['nao']
['PRISMA'],['Gasolina e álcool'],['2019/2019'],['55.185'],['9'],['Sedã'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['nao']
['VERSA'],['Gasolina e álcool'],['2017/2017'],['35.821'],['0'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],['Retrovisores elétricos'],['nao']
['XC60'],['Gasolina'],['2013/2013'],['104.000'],['8'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['SPIN'],['Gasolina e álcool'],['2019/2019'],['45.300'],['5'],['Minivan'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['KANGOO'],['Gasolina e álcool'],['2017/2018'],['61.600'],['0'],['Van/Utilitário'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['nao'],[''],[''],['nao']
['T4'],['Diesel'],['2020/2021'],['5.800'],['8'],['Utilitário esportivo'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['AGILE'],['Gasolina e álcool'],['2011/2011'],['175.000'],['3'],['Hatchback'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['TORO'],['Gasolina e álcool'],['2019/2020'],['8.400'],['9'],['Picape'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['POLO'],['Gasolina e álcool'],['2019/2020'],['49.329'],['7'],['Hatchback'],['Prata'],['sim'],[''],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['ECOSPORT'],['Gasolina e álcool'],['2018/2018'],['26.900'],['3'],['Utilitário esportivo'],['Vermelho'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['CRETA'],['Gasolina e álcool'],['2018/2018'],['29.284'],['5'],['Utilitário esportivo'],['Preto'],['nao'],[''],['nao'],['nao'],['nao'],[''],[''],['nao']
